Experimento,Celulas,Plasmido,Luciferasa,Renilla
M7_11_05_16,MCF7,POS_CNTRL,73.12,1046
M7_11_05_16,MCF7,VV,2.32,1021
M7_11_05_16,MCF7,VV,3.711,936.5
M7_11_05_16,MCF7,VV,1.737,527.7
M7_11_05_16,MCF7,SMALL-F,137.7,994.2
M7_11_05_16,MCF7,SMALL-F,130.7,1102
M7_11_05_16,MCF7,SMALL-F,36.98,376.7
M7_11_05_16,MCF7,SMALL-R,114.5,682.3
M7_11_05_16,MCF7,SMALL-R,155.5,1723
M7_11_05_16,MCF7,SMALL-R,69.07,455.7
M7_11_05_16,MCF7,MR-F,182.6,3169
M7_11_05_16,MCF7,MR-F,83.18,1054
M7_11_05_16,MCF7,MR-F,60.66,792.1
M7_11_05_16,MCF7,MR-R,2.219,1652
M7_11_05_16,MCF7,MR-R,2.635,1629
M7_11_05_16,MCF7,MR-R,1.017,849.1
M7_11_05_16,MCF7,CP-F,5.068,1177
M7_11_05_16,MCF7,CP-F,2.022,520.9
M7_11_05_16,MCF7,CP-F,0.897,437.9
M7_11_05_16,MCF7,CP-R,86.04,1553
M7_11_05_16,MCF7,CP-R,47.43,413.3
M7_11_05_16,MCF7,CP-R,32.06,440.9
M7_11_05_16,MCF7,LARGE-F,2.915,1041
M7_11_05_16,MCF7,LARGE-F,1.07,322.1
M7_11_05_16,MCF7,LARGE-F,0.517,264.1
M7_11_05_16,MCF7,LARGE-R,0.366,335.8
M7_11_05_16,MCF7,LARGE-R,0.414,213.9
M7_11_05_16,MCF7,LARGE-R,0.324,136
K5_16_05_16,K562,POS_CNTRL,60.33,2414
K5_16_05_16,K562,POS_CNTRL,79.98,2829
K5_16_05_16,K562,POS_CNTRL,101.3,4174
K5_16_05_16,K562,VV,1.317,3598
K5_16_05_16,K562,VV,0.989,3441
K5_16_05_16,K562,VV,3.132,1946
K5_16_05_16,K562,SMALL-F,130.2,4486
K5_16_05_16,K562,SMALL-F,147.8,5857
K5_16_05_16,K562,SMALL-F,270.9,7524
K5_16_05_16,K562,SMALL-R,167.6,4576
K5_16_05_16,K562,SMALL-R,212.2,5458
K5_16_05_16,K562,SMALL-R,309.9,6576
K5_16_05_16,K562,MR-F,89.57,2715
K5_16_05_16,K562,MR-F,96.45,4617
K5_16_05_16,K562,MR-F,195.2,7467
K5_16_05_16,K562,MR-R,1.77,5974
K5_16_05_16,K562,MR-R,2.865,7169
K5_16_05_16,K562,MR-R,3.615,8047
K5_16_05_16,K562,CP-F,5.623,4928
K5_16_05_16,K562,CP-F,4.851,5088
K5_16_05_16,K562,CP-F,9.832,7029
K5_16_05_16,K562,CP-R,128.7,5940
K5_16_05_16,K562,CP-R,118.7,5883
K5_16_05_16,K562,CP-R,127.6,6664
K5_16_05_16,K562,LARGE-F,5.406,5907
